40 20 17.5 10
42.5 27.5 20 17.5
47.5 37.5 22.5 20
50 40 25 22.5
55 42.5 27.5 25
57.5 45 30 30
60 47.5 32.5 32.5
62.5 50 35 37.5
70 52.5 37.5 40
285 55 40 60
290 305 50 300
295 307.5 310 320
297.5 310 317.5 322.5
300 312.5 320 327.5
302.5 315 322.5 330
305 317.5 327.5 335
310 320 330 337.5
312.5 322.5 332.5 340
315 337.5 337.5 342.5
320 340 340 350
